id,uid,user_id,group,quota,active
1,0000670855,227,biru,1,True
2,0000670907,519,biru,1,True
3,0000671161,137,merah,1,True
4,0000672196,514,biru,1,True
5,0000681806,31,merah,1,True
6,0000681835,461,biru,1,True
7,0000681836,546,biru,1,True
8,0000703542,511,merah,1,True
9,0000717129,548,biru,1,True
10,0000717174,340,biru,1,True
11,0000717176,547,biru,1,True
12,0000717204,88,merah,1,True
13,0000717470,518,biru,1,True
14,0000717835,133,merah,1,True
15,0000717850,503,merah,1,True
16,0000717865,134,merah,1,True
17,0000718006,95,biru,1,True
18,0000718034,275,biru,1,True
19,0000718094,124,merah,1,True
20,0000718101,501,biru,1,True
21,0000723460,111,merah,1,True
22,0000723490,13,merah,1,True
23,0000723516,500,biru,1,True
24,0000723517,523,biru,1,True
25,0000723520,515,biru,1,True
26,0000723541,504,biru,1,True
27,0000723546,522,biru,1,True
28,0000723573,383,biru,1,True
29,0000723577,163,merah,1,True
30,0000723600,528,merah,1,True
31,0000723601,517,biru,1,True
32,0000723603,505,merah,1,True
33,0000723707,521,biru,1,True
34,0000724693,516,biru,1,True
35,0000725386,336,biru,1,True
36,0000726921,460,biru,1,True
37,0001553932,254,biru,1,True
38,0001553933,308,biru,1,True
39,0001553942,60,merah,1,True
40,0001560074,215,biru,1,True
41,0002495455,232,biru,1,True
42,0002743239,348,biru,1,True
43,0002827777,359,biru,1,True
44,0002878341,491,biru,1,True
45,0002882795,487,biru,1,True
46,0002890735,490,biru,1,True
47,0002890736,148,merah,1,True
48,0002892692,485,biru,1,True
49,0002892693,484,merah,1,True
50,0002892694,30,merah,1,True
51,0002892698,486,biru,1,True
52,0002909371,101,merah,1,True
53,0002909677,441,biru,1,True
54,0002944568,105,merah,1,True
55,0002945135,244,biru,1,True
56,0002948660,116,merah,1,True
57,0002951603,56,merah,1,True
58,0002953949,206,biru,1,True
59,0002954197,440,biru,1,True
60,0002954578,355,biru,1,True
61,0002954690,117,merah,1,True
62,0002954934,103,merah,1,True
63,0002955065,446,biru,1,True
64,0002955307,443,biru,1,True
65,0002955786,252,biru,1,True
66,0002968039,482,merah,1,True
67,0002968040,480,biru,1,True
68,0003007273,274,biru,1,True
69,0003010084,445,biru,1,True
70,0003010397,104,merah,1,True
71,0003082669,361,biru,1,True
72,0003123261,366,biru,1,True
73,0003140419,362,biru,1,True
74,0003641046,438,biru,1,True
75,0003714702,554,biru,1,True
76,0003714938,197,merah,1,True
77,0003717052,642,merah,1,True
78,0003717069,625,biru,1,True
79,0003722373,662,biru,1,True
80,0003722959,663,biru,1,True
81,0003723411,684,merah,1,True
82,0003724283,126,merah,1,True
83,0003726171,651,biru,1,True
84,0003726421,652,biru,1,True
85,0003727180,667,biru,1,True
86,0003729456,629,biru,1,True
87,0003739947,634,biru,1,True
88,0003743367,45,hitam,1,True
89,0003743965,638,biru,1,True
90,0003745276,654,biru,1,True
91,0003745578,626,biru,1,True
92,0003745880,633,biru,1,True
93,0003747210,76,merah,1,True
94,0003749411,672,merah,1,True
95,0003750341,669,merah,1,True
96,0003750996,180,merah,1,True
97,0003751928,660,biru,1,True
98,0003754692,668,biru,1,True
99,0003754708,646,merah,1,True
100,0003754773,325,biru,1,True
101,0003756438,732,merah,1,True
102,0003757552,664,biru,1,True
103,0003757864,708,merah,1,True
104,0003758171,738,hitam,1,True
105,0003758176,671,biru,1,True
106,0003758281,718,merah,1,True
107,0003758905,723,biru,1,True
108,0003759189,333,biru,1,True
109,0003759217,556,biru,1,True
110,0003759841,726,merah,1,True
111,0003760721,636,biru,1,True
112,0003760751,757,biru,1,True
113,0003763643,740,hitam,1,True
114,0003761015,343,biru,1,True
115,0003762980,677,biru,1,True
116,0003764065,630,biru,1,True
117,0003764267,683,biru,1,True
118,0003764835,730,merah,1,True
119,0003765001,639,merah,1,True
120,0003765624,631,biru,1,True
121,0003765769,735,biru,1,True
122,0003766586,18,merah,1,True
123,0003766897,644,biru,1,True
124,0003767208,645,biru,1,True
125,0003768141,183,merah,1,True
126,0003768645,746,biru,1,True
127,0003768710,739,merah,1,True
128,0003772951,711,merah,1,True
129,0003773256,665,biru,1,True
130,0003773333,622,biru,1,True
131,0003774731,756,biru,1,True
132,0003775256,674,biru,1,True
133,0003776426,661,biru,1,True
134,0003776725,712,merah,1,True
135,0003777024,542,biru,1,True
136,0003782631,700,merah,1,True
137,0003783166,734,biru,1,True
138,0003783455,733,biru,1,True
139,0003784319,680,merah,1,True
140,0003790723,632,biru,1,True
141,0003790819,731,merah,1,True
142,0003791085,682,biru,1,True
143,0003792299,720,biru,1,True
144,0003792558,719,biru,1,True
145,0003796843,676,biru,1,True
146,0003799159,675,biru,1,True
147,0003806230,637,biru,1,True
148,0003806301,641,biru,1,True
149,0003806545,650,biru,1,True
150,0003806546,300,biru,1,True
